,text,sentiment,speaker
119,"And when you want to keep a shield or a lyre , and not to use them , you would say that justice is useful ; but when you want to use them , then the art of the soldier or of the musician",NEGATIVE,Polemarchus
120,"And so of all the other things ; -- justice is useful when they are useless , and useless when they are useful",NEGATIVE,Polemarchus
121,That is the inference,NEUTRAL,Polemarchus
122,Then justice is not good for much,NEGATIVE,Polemarchus
123,But let us consider this further point : Is not he who can best strike a blow in a boxing match or in any kind of fighting best able to ward off a blow,NEGATIVE,Polemarchus
124,And he who is most skilful in preventing or escaping from a disease is best able to create one,NEUTRAL,Polemarchus
125,And he is the best guard of a camp who is best able to steal a march upon the enemy,NEUTRAL,Polemarchus
126,Then he who is a good keeper of anything is also a good thief,NEUTRAL,Polemarchus
127,"That , I suppose , is to be inferred",NEGATIVE,Polemarchus
128,"Then if the just man is good at keeping money , he is good at stealing it",NEGATIVE,Polemarchus
129,That is implied in the argument,NEUTRAL,Polemarchus
130,Then after all the just man has turned out to be a thief,NEGATIVE,Polemarchus
131,"And this is a lesson which I suspect you must have learnt out of Homer ; for he , speaking of Autolycus , the maternal grandfather of Odysseus , who is a favourite of his , affirms that He was excellent above all men in theft and perjury",NEUTRAL,Polemarchus
132,"And so , you and Homer and Simonides are agreed that justice is an art of theft ; to be practised however 'for the good of friends and for the harm of enemies , ' -- that was what you were saying",NEUTRAL,Polemarchus
133,"No , certainly not that , though I do not now know what I did say ; but I still stand by the latter words",NEUTRAL,Polemarchus
134,"Well , there is another question : By friends and enemies do we mean those who are so really , or only in seeming",NEGATIVE,Polemarchus
135,"Surely , he said , a man may be expected to love those whom he thinks good , and to hate those whom he thinks evil",NEGATIVE,Polemarchus
136,"Yes , but do not persons often err about good and evil : many who are not good seem to be so , and conversely",NEGATIVE,Polemarchus
137,Then to them the good will be enemies and the evil will be their friends,NEUTRAL,Polemarchus
138,And in that case they will be right in doing good to the evil and evil to the good,NEUTRAL,Polemarchus
139,But the good are just and would not do an injustice,NEUTRAL,Polemarchus
140,Then according to your argument it is just to injure those who do no wrong,NEUTRAL,Polemarchus
141,"Nay , Socrates ; the doctrine is immoral",NEGATIVE,Polemarchus
142,Then I suppose that we ought to do good to the just and harm to the unjust,NEGATIVE,Polemarchus
143,I like that better,NEUTRAL,Polemarchus
144,"But see the consequence : -- Many a man who is ignorant of human nature has friends who are bad friends , and in that case he ought to do harm to them ; and he has good enemies whom he ought to benefit ; but , if so , we shall be saying the very opposite of that which we affirmed to be the meaning of Simonides",NEGATIVE,Polemarchus
145,"Very true , he said : and I think that we had better correct an error into which we seem to have fallen in the use of the words 'friend' and 'enemy",NEGATIVE,Polemarchus
146,"' What was the error , Polemarchus",NEGATIVE,Polemarchus
147,We assumed that he is a friend who seems to be or who is thought good,NEUTRAL,Polemarchus
148,And how is the error to be corrected,NEGATIVE,Polemarchus
149,"We should rather say that he is a friend who is , as well as seems , good ; and that he who seems only , and is not good , only seems to be and is not a friend ; and of an enemy the same may be said",NEGATIVE,Polemarchus
150,You would argue that the good are our friends and the bad our enemies,NEGATIVE,Polemarchus
151,"And instead of saying simply as we did at first , that it is just to do good to our friends and harm to our enemies , we should further say : It is just to do good to our friends when they are good and harm to our enemies when they are evil",NEGATIVE,Polemarchus
152,"Yes , that appears to me to be the truth",NEUTRAL,Polemarchus
153,But ought the just to injure any one at all,NEGATIVE,Polemarchus
154,Undoubtedly he ought to injure those who are both wicked and his enemies,NEGATIVE,Polemarchus
155,"When horses are injured , are they improved or deteriorated",NEGATIVE,Polemarchus
156,"Deteriorated , that is to say , in the good qualities of horses , not of dogs",NEGATIVE,Polemarchus
157,"And dogs are deteriorated in the good qualities of dogs , and not of horses",NEGATIVE,Polemarchus
158,And will not men who are injured be deteriorated in that which is the proper virtue of man,NEUTRAL,Polemarchus
159,And that human virtue is justice,NEUTRAL,Polemarchus
160,Then men who are injured are of necessity made unjust,NEGATIVE,Polemarchus
161,But can the musician by his art make men unmusical,NEUTRAL,Polemarchus
162,Or the horseman by his art make them bad horsemen,NEGATIVE,Polemarchus
163,"And can the just by justice make men unjust , or speaking general can the good by virtue make them bad",NEGATIVE,Polemarchus
164,Any more than heat can produce cold,NEGATIVE,Polemarchus
165,Or drought moisture,NEGATIVE,Polemarchus
166,Nor can the good harm any one,NEGATIVE,Polemarchus
167,And the just is the good,NEUTRAL,Polemarchus
168,"Then to injure a friend or any one else is not the act of a just man , but of the opposite , who is the unjust",NEGATIVE,Polemarchus
169,"I think that what you say is quite true , Socrates",NEUTRAL,Polemarchus
170,"Then if a man says that justice consists in the repayment of debts , and that good is the debt which a man owes to his friends , and evil the debt which he owes to his enemies , -- to say this is not wise ; for it is not true , if , as has been clearly shown , the injuring of another can be in no case just",NEGATIVE,Polemarchus
171,"I agree with you , said Polemarchus",NEUTRAL,Polemarchus
172,"Then you and I are prepared to take up arms against any one who attributes such a saying to Simonides or Bias or Pittacus , or any other wise man or seer",NEUTRAL,Polemarchus
173,"I am quite ready to do battle at your side , he said",NEUTRAL,Polemarchus
174,Shall I tell you whose I believe the saying to be,NEUTRAL,Polemarchus
175,"I believe that Periander or Perdiccas or Xerxes or Ismenias the Theban , or some other rich and mighty man , who had a great opinion of his own power , was the first to say that justice is 'doing good to your friends and harm to your enemies",NEUTRAL,Polemarchus
176,"' Most true , he said",NEUTRAL,Polemarchus
177,"Yes , I said ; but if this definition of justice also breaks down , what other can be offered",NEGATIVE,Polemarchus
178,"Several times in the course of the discussion Thrasymachus had made an attempt to get the argument into his own hands , and had been put down by the rest of the company , who wanted to hear the end",NEGATIVE,Polemarchus
179,"But when Polemarchus and I had done speaking and there was a pause , he could no longer hold his peace ; and , gathering himself up , he came at us like a wild beast , seeking to devour us",NEGATIVE,Polemarchus
180,We were quite panic-stricken at the sight of him,NEGATIVE,Polemarchus
181,Socrates - POLEMARCHUS - THRASYMACHUS He roared out to the whole company : What folly,NEGATIVE,Thrasymachus
182,"Socrates , has taken possession of you all",NEUTRAL,Thrasymachus
183,"And why , sillybillies , do you knock under to one another",NEGATIVE,Thrasymachus
184,"I say that if you want really to know what justice is , you should not only ask but answer , and you should not seek honour to yourself from the refutation of an opponent , but have your own answer ; for there is many a one who can ask and can not answer",NEUTRAL,Thrasymachus
185,"And now I will not have you say that justice is duty or advantage or profit or gain or interest , for this sort of nonsense will not do for me ; I must have clearness and accuracy",NEGATIVE,Thrasymachus
186,"I was panic-stricken at his words , and could not look at him without trembling",NEUTRAL,Thrasymachus
187,"Indeed I believe that if I had not fixed my eye upon him , I should have been struck dumb : but when I saw his fury rising , I looked at him first , and was therefore able to reply to him",NEUTRAL,Thrasymachus
188,"Thrasymachus , I said , with a quiver , do n't be hard upon us",NEUTRAL,Thrasymachus
189,"Polemarchus and I may have been guilty of a little mistake in the argument , but I can assure you that the error was not intentional",NEGATIVE,Thrasymachus
190,"If we were seeking for a piece of gold , you would not imagine that we were 'knocking under to one another , ' and so losing our chance of finding it",NEGATIVE,Thrasymachus
191,"And why , when we are seeking for justice , a thing more precious than many pieces of gold , do you say that we are weakly yielding to one another and not doing our utmost to get at the truth",NEGATIVE,Thrasymachus
192,"Nay , my good friend , we are most willing and anxious to do so , but the fact is that we can not",NEGATIVE,Thrasymachus
193,"And if so , you people who know all things should pity us and not be angry with us",NEUTRAL,Thrasymachus
194,How characteristic of Socrates,NEUTRAL,Thrasymachus
195,"he replied , with a bitter laugh ; -- that's your ironical style",NEUTRAL,Thrasymachus
196,"Did I not foresee -- have I not already told you , that whatever he was asked he would refuse to answer , and try irony or any other shuffle , in order that he might avoid answering",NEGATIVE,Thrasymachus
197,"You are a philosopher , Thrasymachus , I replied , and well know that if you ask a person what numbers make up twelve , taking care to prohibit him whom you ask from answering twice six , or three times four , or six times two , or four times three , 'for this sort of nonsense will not do for me , ' -- then obviously , that is your way of putting the question , no one can answer you",NEGATIVE,Thrasymachus
198,"But suppose that he were to retort , 'Thrasymachus , what do you mean",NEGATIVE,Thrasymachus
199,"If one of these numbers which you interdict be the true answer to the question , am I falsely to say some other number which is not the right one",NEGATIVE,Thrasymachus
200,-- is that your meaning,NEUTRAL,Thrasymachus
201,' -How would you answer him,NEGATIVE,Thrasymachus
202,Just as if the two cases were at all alike,NEUTRAL,Thrasymachus
203,Why should they not be,NEGATIVE,Thrasymachus
204,"I replied ; and even if they are not , but only appear to be so to the person who is asked , ought he not to say what he thinks , whether you and I forbid him or not",NEGATIVE,Thrasymachus
205,I presume then that you are going to make one of the interdicted answers,NEGATIVE,Thrasymachus
206,"I dare say that I may , notwithstanding the danger , if upon reflection I approve of any of them",NEUTRAL,Thrasymachus
207,"But what if I give you an answer about justice other and better , he said , than any of these",NEUTRAL,Thrasymachus
208,What do you deserve to have done to you,NEGATIVE,Thrasymachus
209,"-- as becomes the ignorant , I must learn from the wise -- that is what I deserve to have done to me",NEGATIVE,Thrasymachus
210,"What , and no payment",NEGATIVE,Thrasymachus
211,"I will pay when I have the money , I replied",NEUTRAL,Thrasymachus
212,"Socrates - THRASYMACHUS - GLAUCON But you have , Socrates , said Glaucon : and you , Thrasymachus , need be under no anxiety about money , for we will all make a contribution for Socrates",NEUTRAL,Thrasymachus
213,"Yes , he replied , and then Socrates will do as he always does -- refuse to answer himself , but take and pull to pieces the answer of some one else",NEUTRAL,Thrasymachus
214,"Why , my good friend , I said , how can any one answer who knows , and says that he knows , just nothing ; and who , even if he has some faint notions of his own , is told by a man of authority not to utter them",NEGATIVE,Thrasymachus
215,"The natural thing is , that the speaker should be some one like yourself who professes to know and can tell what he knows",NEUTRAL,Thrasymachus
216,"Will you then kindly answer , for the edification of the company and of myself",NEUTRAL,Thrasymachus
217,"Glaucon and the rest of the company joined in my request and Thrasymachus , as any one might see , was in reality eager to speak ; for he thought that he had an excellent answer , and would distinguish himself",NEUTRAL,Thrasymachus
218,But at first he to insist on my answering ; at length he consented to begin,NEUTRAL,Thrasymachus
219,"Behold , he said , the wisdom of Socrates ; he refuses to teach himself , and goes about learning of others , to whom he never even says thank you",NEUTRAL,Thrasymachus
220,"That I learn of others , I replied , is quite true ; but that I am ungrateful I wholly deny",NEGATIVE,Thrasymachus
221,"Money I have none , and therefore I pay in praise , which is all I have : and how ready I am to praise any one who appears to me to speak well you will very soon find out when you answer ; for I expect that you will answer well",NEUTRAL,Thrasymachus
222,"Listen , then , he said ; I proclaim that justice is nothing else than the interest of the stronger",NEGATIVE,Thrasymachus
223,And now why do you not me,NEGATIVE,Thrasymachus
224,But of course you wo n't,NEUTRAL,Thrasymachus
225,"Let me first understand you , I replied",NEUTRAL,Thrasymachus
226,"justice , as you say , is the interest of the stronger",NEUTRAL,Thrasymachus
227,"What , Thrasymachus , is the meaning of this",NEGATIVE,Thrasymachus
228,"You can not mean to say that because Polydamas , the pancratiast , is stronger than we are , and finds the eating of beef conducive to his bodily strength , that to eat beef is therefore equally for our good who are weaker than he is , and right and just for us",NEUTRAL,Thrasymachus
229,"That 's abominable of you , Socrates ; you take the words in the sense which is most damaging to the argument",NEGATIVE,Thrasymachus
230,"Not at all , my good sir , I said ; I am trying to understand them ; and I wish that you would be a little clearer",NEGATIVE,Thrasymachus
231,"Well , he said , have you never heard that forms of government differ ; there are tyrannies , and there are democracies , and there are aristocracies",NEUTRAL,Thrasymachus
232,And the government is the ruling power in each state,NEUTRAL,Thrasymachus
233,"And the different forms of government make laws democratical , aristocratical , tyrannical , with a view to their several interests ; and these laws , which are made by them for their own interests , are the justice which they deliver to their subjects , and him who transgresses them they punish as a breaker of the law , and unjust",NEUTRAL,Thrasymachus
234,"And that is what I mean when I say that in all states there is the same principle of justice , which is the interest of the government ; and as the government must be supposed to have power , the only reasonable conclusion is , that everywhere there is one principle of justice , which is the interest of the stronger",NEGATIVE,Thrasymachus
235,"Now I understand you , I said ; and whether you are right or not I will try to discover",NEUTRAL,Thrasymachus
236,"But let me remark , that in defining justice you have yourself used the word 'interest ' which you forbade me to use",NEUTRAL,Thrasymachus
237,"It is true , however , that in your definition the words 'of the stronger' are added",NEUTRAL,Thrasymachus
238,"A small addition , you must allow , he said",NEUTRAL,Thrasymachus
239,"Great or small , never mind about that : we must first enquire whether what you are saying is the truth",NEGATIVE,Thrasymachus
240,"Now we are both agreed that justice is interest of some sort , but you go on to say 'of the stronger ' ; about this addition I am not so sure , and must therefore consider further",NEUTRAL,Thrasymachus
241,"I will ; and first tell me , Do you admit that it is just or subjects to obey their rulers",NEUTRAL,Thrasymachus
242,"But are the rulers of states absolutely infallible , or are they sometimes liable to err",NEGATIVE,Thrasymachus
243,"To be sure , he replied , they are liable to err",NEGATIVE,Thrasymachus
244,"Then in making their laws they may sometimes make them rightly , and sometimes not",NEUTRAL,Thrasymachus
245,"When they make them rightly , they make them agreeably to their interest ; when they are mistaken , contrary to their interest ; you admit that",NEUTRAL,Thrasymachus
246,"And the laws which they make must be obeyed by their subjects , -- and that is what you call justice",NEUTRAL,Thrasymachus
247,"Then justice , according to your argument , is not only obedience to the interest of the stronger but the reverse",NEUTRAL,Thrasymachus
248,What is that you are saying,NEUTRAL,Thrasymachus
249,"I am only repeating what you are saying , I believe",NEGATIVE,Thrasymachus
250,"But let us consider : Have we not admitted that the rulers may be mistaken about their own interest in what they command , and also that to obey them is justice",NEUTRAL,Thrasymachus
251,Has not that been admitted,NEGATIVE,Thrasymachus
252,"Then you must also have acknowledged justice not to be for the interest of the stronger , when the rulers unintentionally command things to be done which are to their own injury",NEGATIVE,Thrasymachus
253,"For if , as you say , justice is the obedience which the subject renders to their commands , in that case , O wisest of men , is there any escape from the conclusion that the weaker are commanded to do , not what is for the interest , but what is for the injury of the stronger",NEGATIVE,Thrasymachus
254,"Nothing can be clearer , Socrates , said Polemarchus",NEGATIVE,Thrasymachus
255,"Socrates - CLEITOPHON - POLEMARCHUS - THRASYMACHUS Yes , said Cleitophon , interposing , if you are allowed to be his witness",NEUTRAL,Thrasymachus
256,"But there is no need of any witness , said Polemarchus , for Thrasymachus himself acknowledges that rulers may sometimes command what is not for their own interest , and that for subjects to obey them is justice",NEUTRAL,Thrasymachus
257,"Yes , Polemarchus , -- Thrasymachus said that for subjects to do what was commanded by their rulers is just",NEGATIVE,Thrasymachus
258,"Yes , Cleitophon , but he also said that justice is the interest of the stronger , and , while admitting both these propositions , he further acknowledged that the stronger may command the weaker who are his subjects to do what is not for his own interest ; whence follows that justice is the injury quite as much as the interest of the stronger",NEUTRAL,Thrasymachus
259,"But , said Cleitophon , he meant by the interest of the stronger what the stronger thought to be his interest , -- this was what the weaker had to do ; and this was affirmed by him to be justice",NEUTRAL,Thrasymachus
